"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8","Topic 9","Topic 10"
"1","friend","people","home","moment","time","parents","happiness","day","family","love"
"2","enjoyed","job","finally","life","feel","met","day","surprise","birthday","food"
"3","movie","completed","shopping","school","called","office","feel","sister","celebrated","girl"
"4","played","company","money","college","car","trip","bike","mother","brother","visit"
"5","watched","father","planned","exam","song","mom","bought","dad","gift","beautiful"
"6","meet","successfully","started","results","live","nice","god","phone","party","match"
"7","night","person","waiting","event","uncle","share","talked","forget","home","favorite"
"8","experience","movement","hard","class","received","purchased","memories","birth","marriage","morning"
"9","game","feel","suddenly","passed","baby","smile","joy","excited","relatives","dinner"
"10","unforgettable","makes","told","remember","blissful","ready","photos","bought","house","spend"
