"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8","Topic 9","Topic 10"
"1","friend","feel","day","family","bought","son","helped","moment","daughter","temple"
"2","birthday","makes","school","time","fun","home","remember","life","love","visit"
"3","enjoyed","happiness","surprise","movie","office","morning","people","time","event","car"
"4","celebrated","people","enjoyed","shopping","purchased","wife","walk","person","parents","trip"
"5","party","love","class","played","job","mother","night","movement","baby","bike"
"6","marriage","found","birthday","watched","colleagues","food","road","waiting","talked","enjoyed"
"7","brother","live","phone","kids","received","husband","told","results","sister","summer"
"8","met","started","gift","spend","discussions","father","water","marks","called","travel"
"9","meet","hours","finally","favorite","buy","sister","laugh","completed","child","vacation"
"10","function","age","passed","game","team","prepared","smile","change","wife","drive"
