"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8","Topic 9","Topic 10"
"1","found","wife","daughter","watched","friend","job","husband","time","finally","dog"
"2","received","dinner","son","played","family","happiness","home","day","started","walk"
"3","bought","enjoyed","school","game","birthday","life","feel","morning","finished","love"
"4","car","lunch","told","won","visit","live","house","night","baby","cat"
"5","money","nice","excited","son","talked","moment","makes","kids","weeks","beautiful"
"6","gift","eat","event","fun","called","promotion","cleaned","hours","completed","run"
"7","shopping","favorite","book","favorite","surprise","people","didnt","spend","helped","park"
"8","store","night","love","movie","weekend","positive","moved","mother","project","planted"
"9","pay","cooked","read","laugh","vacation","meet","brought","sleep","ive","garden"
"10","card","food","learned","team","sister","person","decided","spent","couple","weather"
