"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8","Topic 9","Topic 10"
"1","feel","watched","found","dog","dinner","finally","time","job","friend","day"
"2","live","played","bought","home","ate","finished","family","received","talked","nice"
"3","life","game","car","hours","lunch","school","visit","ive","boyfriend","walk"
"4","people","favorite","money","morning","eat","event","weekend","weeks","birthday","mother"
"5","happiness","won","store","love","food","completed","mom","book","called","enjoyed"
"6","event","video","pay","night","favorite","class","sister","started","met","park"
"7","moved","movie","buy","cat","delicious","college","girlfriend","recently","phone","weather"
"8","person","fun","card","sleep","night","project","spend","hit","havent","relax"
"9","moment","team","shopping","run","restaurant","hard","brother","gym","surprise","beautiful"
"10","helped","tickets","dollars","cleaned","cooked","learned","trip","lost","date","pretty"
